,pic_url,predict_class,confidence
0,data/7e5ba16b-6223-41f3-8f64-07ea079ece48.png,plants,0.70130914
1,data/ef6e4cfe-c96a-4cd1-b30c-0e966dc46c83.png,other,0.837244
2,data/386d835c-bc56-4d6d-bb45-98741b3a68a4.png,other,0.9666381
3,data/25db6f12-b897-41e8-a6ed-e2a3c83f6668.png,other,0.8443595
4,data/c83b3205-ec7c-4847-ba23-92348c220263.jpg,other,0.9950317
5,data/d062fd1b-b3f5-4bf1-ad8f-71f327c4d2f9.png,other,0.9882556
6,data/838cffc0-ee3b-4025-a7aa-9244a32cfa0c.jpg,plants,0.51719135
7,data/4af0e5ff-33d9-4b0c-9dc6-b7a544221c50.png,other,0.9459277
8,data/2873600a-fa17-4625-94c9-0a728b563dab.png,vehicles,0.644569
9,data/0a8e8f55-a8b9-41d9-b89b-3101b88fa7d3.png,other,0.9948543
10,data/dbdd0799-f355-4239-ba16-7ce31bce9c10.png,vehicles,0.9106126
11,data/98dadbf1-4225-48f8-9774-8d124ac4bfe6.jpg,other,0.9998846
12,data/20d57e2c-b1e8-4f74-adc5-2e6a31ed1aad.jpg,other,0.9702031
13,data/455ae0e8-7aac-495c-947e-e85a5f404e3d.jpg,other,0.99941146
14,data/e3ab835d-97be-4253-ad5b-6aded3f57886.png,other,0.66979295
15,data/4e907df4-5b39-4545-af63-2de1fdc900c9.jpg,other,0.6877557
16,data/85bbbe4e-ae93-4bfb-89be-93d1c27cf650.jpg,other,0.9798523
17,data/51c2026d-3323-4bad-9acd-5a7547a4a74b.png,other,0.94932544
18,data/eaa13c48-74a1-4ef7-93a4-b9bb2b5d6e89.jpg,other,0.9306827
19,data/449a3a61-9e4f-46a4-ab63-8f54209ae7c3.jpg,other,0.97143495
20,data/a3b03e73-3c82-4d12-8041-c79fdeb135a7.png,vehicles,0.7958575
21,data/b9ab1dce-0899-418a-b57b-cfea48ab4f04.png,other,0.5856633
22,data/6be2a5ea-72f9-4e30-9d97-0a0511ead45d.png,other,0.5266457
23,data/32baa8bd-0970-4043-ac44-709ccde76eeb.png,plants,0.68576825
24,data/2a2b3634-a700-45c2-9af9-ea8ffc080466.png,plants,0.80158716
25,data/4d0d6fe4-6526-429f-8eb1-b3880f3c8187.png,other,0.8614154
26,data/82ea8e33-d699-4454-85e3-2382b5473387.jpg,other,0.99842936
27,data/e1598c6b-61ac-4575-87e0-9e6c643bb9fa.png,plants,0.79299927
28,data/026fa823-3e86-4001-94b4-ad8e026b515f.png,other,0.9788881
29,data/4f368b63-24c7-424d-83da-6c285cd3e64b.png,other,0.88171893
30,data/909c9f29-7796-4232-abec-55f9d1fa3b8b.png,other,0.7619723
31,data/1ffdc314-98bc-4eb5-a417-4a7d94effe3c.jpg,other,0.92737097
32,data/0774d809-adf2-4b33-bf8f-cfc905865a04.png,other,0.98571855
33,data/f7b74844-9a26-45ec-85c2-402d62de3404.jpg,other,0.9957562
34,data/cce56d46-17dd-4d62-bc43-0285b876edf7.png,other,0.9941545
35,data/0e69a83e-9040-40c0-ab8a-944f0568a85a.jpg,other,0.9927851
36,data/42f7abcd-965e-40b1-b826-8951567908a5.png,other,0.5841302
37,data/6777302a-5585-42ec-bf3f-fe2fbfa8e73c.jpg,other,0.9957552
38,data/ebfa017c-d9a2-40ba-a0f0-c1752036c5e9.png,other,0.999071
39,data/a3b3a6f7-9267-4011-85c2-a8b366a5e9d9.png,plants,0.96271425
40,data/ce62d35b-9773-4404-abf7-102acb6a0a94.jpg,other,0.87848705
41,data/1367c44f-303a-4eb7-b9a8-f788eb4a9ae1.png,plants,0.6082061
42,data/e42b698e-036a-416a-a1fc-5779fa870833.jpg,other,0.9140306
43,data/5841f14a-1888-4a54-87ea-69f75c268326.jpg,other,0.9925287
44,data/b3970074-4e5d-48ac-bf61-dc74bcc4e9ee.jpg,other,0.98647344
45,data/32117356-e02f-4612-b978-606ba2c6585e.jpg,other,0.9993343
46,data/d276be2b-e764-40ae-b873-1ff05595438e.png,vehicles,0.92383844
47,data/36c00f4c-c610-48a2-829f-3d69a756b045.png,plants,0.61201626
48,data/62957b05-24ca-4da5-9e8c-d0fb82d28c16.png,other,0.92238325
49,data/7559e15e-4cab-4b46-bafd-06916d121004.png,vehicles,0.952828
50,data/b0f40789-a35b-444d-96cf-abafda3aa6f8.jpg,other,0.99804926
51,data/1ed50dce-af6d-4523-b492-5267aa25ab2b.jpg,other,0.98380524
